fundos,setor,preco_atual,p_vp,dy_12m_media,pl,quantidade_ativos,R$1.000,R$10.000,R$100.000
TRXB11,FUNDO DE DESENVOLVIMENTO,"R$ 119,00","1,09","0,63%","313.127.824,30",12,"R$ 6,30","R$ 63,00","R$ 630,00"
HPDP11,SHOPPINGS,"R$ 84,26","0,94","0,63%","260.246.309,56",1,"R$ 6,40","R$ 64,00","R$ 640,00"
PLRI11,PAPÉIS,"R$ 17,98","0,61","0,63%","28.147.285,60",0,"R$ 6,40","R$ 64,00","R$ 640,00"
DAMT11B,SHOPPINGS,"R$ 17,41","1,32","0,64%","96.266.043,23",1,"R$ 6,50","R$ 65,00","R$ 650,00"
JSRE11,MISTO,"R$ 76,20","0,68","0,64%","2.343.584.658,59",6,"R$ 6,50","R$ 65,00","R$ 650,00"
PVBI11,LAJES CORPORATIVAS,"R$ 105,20","1,04","0,65%","1.226.742.660,75",3,"R$ 6,70","R$ 67,00","R$ 670,00"
HBRH11,LAJES CORPORATIVAS,"R$ 93,95","0,84","0,65%","310.626.828,68",5,"R$ 6,70","R$ 67,00","R$ 670,00"
KNRI11,MISTO,"R$ 162,50","1,01","0,67%","3.869.076.579,67",19,"R$ 6,70","R$ 67,00","R$ 670,00"
HGRE11,LAJES CORPORATIVAS,"R$ 138,50","0,89","0,67%","1.835.305.009,11",17,"R$ 6,70","R$ 67,00","R$ 670,00"
IBFF11,FUNDO DE FUNDOS,"R$ 66,40","4,49","0,67%","9.855.905,16",0,"R$ 6,70","R$ 67,00","R$ 670,00"
BRCO11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 126,29","1,05","0,67%","1.785.988.780,45",10,"R$ 6,80","R$ 68,00","R$ 680,00"
WPLZ11,SHOPPINGS,"R$ 65,78","0,75","0,67%","89.618.455,74",1,"R$ 6,90","R$ 69,00","R$ 690,00"
VILG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 106,88","0,96","0,68%","1.678.321.852,08",14,"R$ 6,90","R$ 69,00","R$ 690,00"
TMPS11,FUNDO DE FUNDOS,"R$ 105,00","0,97","0,69%","106.293.705,07",0,"R$ 6,90","R$ 69,00","R$ 690,00"
QIRI11,PAPÉIS,"78,04","0,87","0,69%","13.441.852,95",0,"R$ 7,00","R$ 70,00","R$ 700,00"
XPID11,FUNDO DE DESENVOLVIMENTO,"89,09",N/A,"0,69%",N/A,0,"R$ 7,00","R$ 70,00","R$ 700,00"
FLMA11,LAJES CORPORATIVAS,"140,8","0,88","0,70%","220.651.347,80",2,"R$ 7,00","R$ 70,00","R$ 700,00"
HUSC11,HOSPITALAR,"R$ 119,90","0,83","0,70%","119.148.478,11",2,"R$ 7,00","R$ 70,00","R$ 700,00"
VINO11,LAJES CORPORATIVAS,"R$ 9,17","0,17","0,70%","900.631.675,97",10,"R$ 7,10","R$ 71,00","R$ 710,00"
FLRP11,SHOPPINGS,"R$ 1.965,00","1,08","0,70%","119.040.327,27",1,"R$ 7,10","R$ 71,00","R$ 710,00"
FCFL11,EDUCACIONAL,"R$ 116,50",1,"0,71%","403.741.891,82",1,"R$ 7,10","R$ 71,00","R$ 710,00"
TEPP11,LAJES CORPORATIVAS,"R$ 90,00","0,95","0,71%","401.241.306,21",5,"R$ 7,20","R$ 72,00","R$ 720,00"
HOFC11,LAJES CORPORATIVAS,"R$ 23,33","0,26","0,71%","337.189.582,50",4,"R$ 7,20","R$ 72,00","R$ 720,00"
LVBI11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 118,27","1,02","0,72%","1.363.563.218,56",8,"R$ 7,30","R$ 73,00","R$ 730,00"
HLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"92,4","0,8","0,72%","490.815.421,64",5,"R$ 7,30","R$ 73,00","R$ 730,00"
HGBS11,SHOPPINGS,"R$ 231,00","1,02","0,73%","2.264.344.680,70",12,"R$ 7,30","R$ 73,00","R$ 730,00"
XPLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 113,30","1,02","0,73%","3.017.112.409,31",20,"R$ 7,30","R$ 73,00","R$ 730,00"
ABCP11,SHOPPINGS,"R$ 68,30","0,74","0,73%","432.552.807,00",1,"R$ 7,40","R$ 74,00","R$ 740,00"
MALL11,SHOPPINGS,"R$ 116,70","0,97","0,73%","1.092.773.094,77",9,"R$ 7,40","R$ 74,00","R$ 740,00"
VISC11,SHOPPINGS,"120,81","1,05","0,74%","2.137.514.464,12",20,"R$ 7,40","R$ 74,00","R$ 740,00"
FIIB11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 512,00","1,11","0,74%","316.273.815,11",9,"R$ 7,50","R$ 75,00","R$ 750,00"
LUGG11,FUNDO DE DESENVOLVIMENTO,"R$ 88,54","0,72","0,74%","139.619.195,54",5,"R$ 7,50","R$ 75,00","R$ 750,00"
RBRS11,FUNDO DE DESENVOLVIMENTO,"R$ 56,20","0,6","0,75%","163.419.300,39",2,"R$ 7,50","R$ 75,00","R$ 750,00"
BTLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 104,53","1,06","0,75%","2.067.981.417,09",20,"R$ 7,60","R$ 76,00","R$ 760,00"
HGLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 161,27","1,05","0,75%","5.176.423.292,15",21,"R$ 7,60","R$ 76,00","R$ 760,00"
BRCR11,LAJES CORPORATIVAS,"R$ 62,88","0,62","0,76%","2.680.791.488,63",9,"R$ 7,60","R$ 76,00","R$ 760,00"
